Block_Group,Population
40131125021,2527
40131125022,1512
40131125023,1358
40131125031,2101
40131125032,2359
40131125033,1265
40131125034,2219
40131125041,2104
40131125042,1492
40131125051,2081
40131125052,1741
40131125053,1106
40131125054,1755
40131125055,1686
40131125071,869
40131125072,1530
40131125081,2148
40131125091,1913
40131125092,2400
40131125093,2596
40131125101,3325
40131125102,837
40131125111,2561
40131125112,3390
40131125113,865
40131125121,1796
40131125131,3812
40131125132,16
40131125133,2323
40131125134,1980
40131125141,1899
40131125142,1734
40131126011,1194
40131126012,1815
40131126021,2333
40131126022,1812
40131126023,1702
40131126024,2088
40131127001,1915
40131127002,1961
40131127003,2235
40131127004,629
40131129001,967
40131129002,1237
40131129003,1095
40131129004,1506
40131130001,1249
40131130002,646
40131131001,783
40131131002,2025
40131132011,1328
40131132012,1338
40131132021,1176
40131132022,885
40131132031,1770
40131132032,547
40131133001,1848
40131133002,1615
40131133003,1712
40131134001,684
40131135011,2102
40131135012,2314
40131135021,2638
40131136011,2006
40131136012,1951
40131136021,1385
40131136022,2015
40131137001,491
40131137002,1499
40131137003,1334
40131137004,2563
40131137005,1833
40131138011,1138
40131138012,997
40131138021,17
40131139001,1372
40131140001,2407
40131140002,207
40131141001,2401
40131142001,1539
40131143011,1570
40131143021,914
40131143022,1563
40131144011,1724
40131144021,766
40131144022,1248
40131145001,1306
40131145002,1400
40131145003,1492
40131146001,1914
40131147031,1909
40131147032,6162
40131148001,1623
40131148002,1662
40131149001,880
40131149002,1783
40131152001,879
40131152002,932
40131152003,812
40131153001,1504
40131153002,819
40131154001,1051
40131154002,1181
40131155001,1799
40131155002,1900
40131156001,3864
40131157001,2632
40131157002,1906
40131157003,1889
40131158011,2100
40131158012,1762
40131158021,1969
40131158022,1420
40131159001,2040
40131159002,3292
40131160001,1284
40131160002,2647
40131160003,1627
40131161001,1854
40131161002,1384
40131161003,725
40131162021,1624
40131162022,1537
40131162023,917
40131162024,955
40131162031,906
40131162032,2307
40131162033,1547
40131162041,1612
40131162042,1090
40131162043,936
40131162051,1299
40131162052,1109
40131162053,1848
40131163001,2308
40131163002,2088
40131163003,1722
40131164001,2046
40131164002,1008
40131164003,2550
40131165001,1858
40131165002,1632
40131165003,1430
40131166021,4340
40131166022,2985
40131166031,2954
