FIPS,land_area
320030049151,1008204
320030049152,354273
320030049161,688805
320030049162,654124
320030049171,628813
320030049172,634988
320030049181,670207
320030049182,674410
320030049191,647037
320030049192,664928
320030049201,282540
320030049202,660935
320030049203,349513
320030049211,167008
320030049212,499348
320030049213,322213
320030049214,315060
320030049231,412446
320030049232,626430
320030049241,496170
320030049242,715139
320030049243,202400
320030049251,345893
320030049252,362919
320030049253,339415
320030049261,942922
320030049262,412713
320030050051,144937
320030050052,657215
320030050053,174411
320030050054,329219
320030050061,163156
320030050062,174331
320030050063,674577
320030050064,160363
320030050065,172436
320030050071,461692
320030050072,826081
320030050101,338263
320030050102,2221733
320030050103,221564
320030050111,500269
320030050112,436482
320030050121,319695
320030050122,615897
320030050131,780790
320030050132,1468037
320030050141,258460
320030050142,635631
320030050143,420271
320030050151,3010631
320030050152,417750
320030050161,7312791
320030050171,1366517
320030051011,246184
320030051012,394002
320030051013,3325000
320030051014,310936
320030051015,490830
320030051016,482143
320030051021,337941
320030051022,421699
320030051023,917457
320030051024,229018
320030051031,622649
320030051032,375843
320030051033,293994
320030051034,698967
320030051041,308815
320030051042,327233
320030051043,456397
320030051051,6053432
320030051052,12203854
320030051061,427882
320030051062,364281
320030051071,483304
320030051072,319589
320030051073,570128
320030051081,328450
320030051082,1114651
320030051091,1117307
320030051092,376803
320030051093,511365
320030051094,1531418
320030052001,988651
320030052002,858905
320030052003,534254
320030053111,210289
320030053112,443548
320030053121,543687
320030053122,443463
320030053131,502154
320030053132,373177
320030053133,771475
320030053134,491933
320030053141,663548
320030053142,621779
320030053151,723190
320030053152,490660
320030053153,2468849
320030053161,459747
320030053162,328276
320030053163,608719
320030053171,542714
320030053172,691977
320030053173,668880
320030053174,365677
320030053175,369596
320030053181,983842
320030053182,404489
320030053183,244181
320030053191,1079543
320030053192,362060
320030053201,210170
320030053202,337331
320030053203,341084
320030053211,555512
320030053212,386685
320030053213,650008
320030053221,1751691
320030053222,442099
320030053331,974169
320030053332,423856
320030053351,678660
320030053352,793336
320030053353,648514
320030053354,1729960
320030053355,362917
320030053361,484698
320030053362,432850
320030053363,484784
320030053364,502508
320030053371,742636
320030053372,681765
320030053381,285565
320030053382,619092
320030053383,387582
320030053411,473439
320030053412,548079
320030053421,412362
320030053422,652630
320030053423,599307
320030053431,1987174
320030053432,572168
320030053461,1801942
320030053462,577769
320030053471,1957429
320030053472,7004679
320030053481,924746
320030053482,2333239
320030053491,889538
320030053492,1703128
320030053501,1314931
320030053502,512108
320030053511,1032577
320030053512,846978
320030053521,981426
320030053522,682645
320030053531,839105
320030053532,671819
320030053541,798176
320030053542,1247973
320030053551,5425744
320030053552,1317177
320030053553,196116
320030053561,3103059
320030053562,719342
320030053571,7217131
320030053572,5488014
320030053581,516393
320030053582,657733
320030053591,887996
320030053592,3036104
320030053593,785967
320030053601,4370783
320030053602,1312789
320030054211,481382
320030054212,277458
320030054213,463836
320030054221,1108267
320030054222,584915
320030054223,464106
320030054231,445130
320030054232,671528
320030054233,825614
320030054321,629477
320030054322,781784
320030054323,1034837
320030054331,707062
320030054332,640015
320030054333,378824
320030054334,647093
320030054335,618786
320030054341,670255
320030054342,4493667
320030054351,4777899
320030054352,64121916
320030054361,12464635
320030054362,991883
320030054363,3290529
320030054364,340674
320030054371,17122403
320030054381,1705706
320030054382,460385
320030054391,228366
320030054392,649312
320030054393,335009
320030055011,10938221
320030055012,31396687
320030055013,9156431
320030055014,2863762
320030055021,11460730
320030055022,375202
320030055023,418628
320030055024,27350147
320030055031,486355
320030055032,422546
320030055033,684376
320030055041,894883
320030055042,420357
320030055043,397394
320030056071,920832
320030056072,660273
320030056073,1040423
320030056121,1580461
320030056122,947663
320030056131,3899174
320030056132,79424662
320030056133,5287421
320030056134,2024653581
320030056135,22358661
320030056141,371184
320030056142,1935406
320030056151,3014619
320030057021,994298
320030057022,13428841
320030057023,4367577
320030057031,83348632
320030057032,2257350019
320030057033,1302181059
320030057041,880938
320030057051,208354260
320030057052,15585732
320030057111,561271384
320030057112,691880
320030057121,52731370
320030057122,696044
320030057131,4587756
320030057132,517818
320030057141,775972
320030057142,1327976
320030057143,1056487
320030057144,1934381
320030057145,1620160
320030057151,1528017
320030057152,1435448
320030057153,1441063
320030057154,865478
320030057161,430653
320030057162,664039
320030057163,1639602
320030058031,431782
320030058032,410701
320030058033,263915
320030058034,358861
320030058041,442945
320030058042,201708
320030058043,354778
320030058044,606398
320030058051,455991
320030058052,479192
320030058053,1293831
320030058061,252167
320030058062,317494
320030058063,488778
320030058064,251642
320030058071,332582
320030058072,302922
320030058073,341267
320030058074,326789
320030058081,470124
320030058082,449689
320030058083,267929
320030058091,812463
320030058092,264357
320030058093,289890
320030058111,329023
320030058112,596637
320030058113,246219
320030058114,1148343
320030058115,327524
320030058131,631335
320030058132,668028
320030058181,523221914
320030058182,4009849
320030058221,577898
320030058222,787178
320030058223,636824
320030058231,338272835
320030058241,493186
320030058242,536138
320030058243,533052
320030058251,335689
320030058252,497137
320030058253,496728
320030058261,334345
320030058262,334060
320030058263,662452
320030058271,1405829570
320030058272,14324258
320030058281,2563659
320030058291,1504020
320030058301,1447023
320030058311,6381339
320030058321,2578080
320030058331,7579222
320030058341,10838915
320030058351,656722
320030058352,689105
320030058361,600126
320030058362,563953
320030058371,750838
320030058372,1114713
320030058381,1460549
320030058382,557129
320030058383,346701
320030058391,22134400
320030058392,3418037
320030058401,120678145
320030058411,2563614
320030058412,1626819
320030058421,3442983
320030058422,863218
320030058431,2562142
320030058432,492938
320030058441,643757
320030058442,1127263
320030058443,1038397
320030058451,338696
320030058452,1015776
320030058453,505526
320030058461,1377287
320030058462,1245540
320030058463,1474728
320030058471,1320899
320030058481,750457
320030058482,613716
320030058491,796287
320030058492,579243
320030058501,669541
320030058502,665491
320030058511,3379115
320030058512,681310
320030058521,659788
320030058522,1298929
320030058531,681044
320030058532,660003
320030058533,681163
320030058541,4170174
320030058542,764381
320030058543,506867
320030058551,1137481
320030058552,1423494
320030058561,1825363
320030059021,5361813785
320030059022,287146439
320030059031,10729556
320030059041,51757974
320030059051,3031873
320030060011,7750471
320030060012,952794
320030060013,392717
320030060014,312199
320030060015,390709
320030061031,735752
320030061032,637335
320030061041,109428242
320030061042,1096336
320030062011,1857115
320030062012,666340
320030062021,560622
320030062022,609239
320030062031,440720
320030062032,299378
320030062041,6264424
320030062042,356454
320030067001,4056601
320030067002,141108
320030067003,228605
320030067004,338863
320030068001,204599
320030068002,125670
320030068003,678738
320030068004,14386807
320030069001,987997
320030069002,3013451
320030071001,3263553
320030071002,335742
320030071003,337711
320030072001,7232283
320030072002,7085156
320030072003,300555
320030072004,244146
320030075001,1768203514
320030076001,1367373
320030076002,346998180
320030076003,1972770804
320030076004,1552491
320030078001,122026421
320030078002,15159011
320030078003,1159185
550219701001,89011022
550219701002,171342880
550219701003,13841470
550219701004,94366876
550219702001,76935764
550219702002,23681091
550219702003,31625535
550219702004,55257043
550219703001,7806310
550219703002,170558709
550219703003,12239519
550219704001,20493690
550219704002,1122432
550219704003,462399
550219704004,2372541
550219704005,9764894
550219705001,2372501
550219705002,10494466
550219705003,1488503
550219705004,238748
550219706001,149453694
550219706002,38197961
550219706003,81296637
550219707001,43677697
550219707002,13852687
550219707003,37936809
550219707004,8975919
550219708001,41446713
550219708002,8506981
550219708003,36983034
550219708004,35992150
550219709001,73832657
550219709002,23975368
550219709003,31922487
550219710001,9905524
550219710002,86830223
550219710003,97497265
550219710004,84414193
550219711001,222196825
550219711002,18563104
550219712001,558216
550219712002,16937658
550219712003,20002962
550219712004,4278329
550250001001,1034609
550250001002,1047208
550250002011,1064530
550250002012,800890
550250002021,1339650
550250002022,1057848
550250002041,829471
550250002042,1113306
550250002043,736322
550250002051,2337076
550250002052,1075033
550250002053,683545
550250003001,683901
550250003002,812784
550250003003,617725
550250003004,241729
550250004011,1205808
550250004012,610256
550250004021,1085452
550250004022,1718814
550250004051,1072052
550250004052,381059
550250004053,727454
550250004054,2134947
550250004061,3203468
550250004071,582927
550250004072,705690
550250004073,1137377
550250004074,328304
550250004081,2992584
550250004082,919532
550250005011,1440961
550250005012,623716
550250005013,461299
550250005014,825234
550250005031,477676
550250005032,715626
550250005033,982230
550250005034,653522
550250005035,550116
550250005041,692130
550250005042,587409
550250005043,2051657
550250005044,1637681
550250006001,942199
550250006002,575730
550250006003,1631049
550250007001,452865
550250007002,719111
550250007003,1126286
550250008001,415422
550250008002,942578
550250008003,552483
550250009011,372823
550250009012,272332
550250009021,201542
550250009022,308223
550250009023,277745
550250009024,561270
550250010001,1209022
550250010002,362599
550250011011,249417
550250011012,419313
550250011021,251349
550250011022,819165
550250012001,346311
550250012002,577725
550250012003,476877
550250012004,418066
550250013001,1070100
550250013002,408373
550250014011,2580599
550250014012,371860
550250014013,900724
550250014014,270906
550250014021,5374700
550250014022,611338
550250014023,791494
550250014024,1407880
550250014031,2141835
550250014032,880828
550250014033,8079525
550250015011,402977
550250015012,685857
550250015021,828316
550250015022,6698044
550250015023,2180221
550250016031,102820
550250016032,72934
550250016041,43869
550250016042,100227
550250016043,69099
550250016044,60956
550250016051,128189
550250016052,225314
550250016061,50437
550250016062,153686
550250016063,167224
550250016064,50335
550250017041,223227
550250017042,198880
550250017051,329708
550250017052,180461
550250017053,186307
550250018021,445512
550250018022,265622
550250018041,480792
550250018042,349174
550250019001,329156
550250019002,295205
550250019003,660682
550250019004,479500
550250019005,382872
550250020001,607902
550250020002,796696
550250020003,506053
550250020004,695723
550250021001,1182996
550250021002,364856
550250021003,476321
550250021004,1083747
550250022001,522519
550250022002,634187
550250022003,726192
550250023011,811205
550250023012,1511837
550250023021,3260155
550250024011,678989
550250024012,621489
550250024013,557563
550250024021,1325486
550250024022,896411
550250025001,8812009
550250025002,2288305
550250026011,814957
550250026012,727524
550250026021,1216110
550250026022,3816184
550250026023,967962
550250026031,1680673
550250026032,4663234
550250027001,710716
550250027002,970699
550250027003,1451582
550250028001,1012659
550250028002,785275
550250029001,1252039
550250029002,544815
550250029003,1559933
550250030011,783289
550250030012,823850
550250030013,580710
550250030014,1091565
550250030015,491269
550250030021,817719
550250030022,1089706
550250031001,773290
550250031002,828319
550250031003,7443963
550250031004,1153247
550250032001,2382471
550250101001,630993
550250101002,1271960
550250102001,1808198
550250103001,906406
550250103002,1342563
550250104001,779868
550250104002,618833
550250104003,692268
550250105011,3205269
550250105012,5752763
550250105021,3775403
550250105022,1864518
550250105023,1034549
550250105024,11787970
550250106001,19399417
550250106002,10621951
550250106003,10777006
550250106004,7314148
550250106005,21059034
550250107011,2481760
550250107012,1337360
550250107013,6398953
550250107021,18611950
550250107022,29672675
550250107023,11798909
550250107024,532731
550250108001,1970497
550250108002,1343617
550250108003,6975402
550250108004,3943900
550250108005,2725919
550250109011,16560295
550250109031,9701134
550250109041,34533071
550250109042,23386799
550250109043,43092997
550250109044,13799149
550250110001,1391018
550250110002,1334331
550250111011,794330
550250111012,1105556
550250111013,1175567
550250111021,4188800
550250111022,2329858
550250111023,2595524
550250111024,2270321
550250111025,321007
550250111026,421193
